data	cnpj_loja	nome_loja	qtd cupom	valor venda	qtd venda
26/12/2019	276780000320	Loja 1	1	4974.51	274
31/12/2019	276780000320	Loja 1	1	1953.04	169
26/12/2019	276780000320	Loja 1	2	1565.88	266
26/12/2019	276780000320	Loja 1	3	377.83	27
31/12/2019	276780000320	Loja 1	2	485.31	49
31/12/2019	276780000320	Loja 1	5	32	10
26/12/2019	276780000320	Loja 1	4	21.53	6
26/12/2019	276780000320	Loja 1	7	24	8
31/12/2019	276780000320	Loja 1	3	55.5	9
26/12/2019	276780000320	Loja 1	5	28	8
27/11/2019	389368000200	Loja 2	2	23781.08	3554.5
1/11/2019	389368000200	Loja 2	2	20864.81	3112.33
26/12/2019	389368000200	Loja 2	1	8586.65	1255.51
31/12/2019	389368000200	Loja 2	9	2122.32	308.19
31/12/2019	389368000200	Loja 2	2	13097.76	1766.88
31/12/2019	389368000200	Loja 2	3	5363.13	897.75
26/12/2019	389368000200	Loja 2	7	867.96	109.59
1/11/2019	389368000200	Loja 2	1	6586.1	920.74
26/11/2019	389368000200	Loja 2	4	11832.48	2118.58
10/11/2019	389368000200	Loja 2	2	20479.95	2786.22
6/11/2019	389368000200	Loja 2	2	18832.23	3083.96
26/12/2019	389368000200	Loja 2	3	2978.36	522.47
26/12/2019	389368000200	Loja 2	2	5952.17	870.71
27/11/2019	389368000200	Loja 2	6	7511.84	1565.02
31/12/2019	389368000200	Loja 2	1	8996.08	1150.53
24/11/2019	389368000200	Loja 2	6	6524.65	1294.39
10/11/2019	389368000200	Loja 2	5	3369.75	594.62
31/12/2019	389368000200	Loja 2	14	1246.34	113.8
24/11/2019	389368000200	Loja 2	2	20831.48	3457.8
3/11/2019	389368000200	Loja 2	2	17108.49	2736.82
22/11/2019	389368000200	Loja 2	2	26562.42	4276.08
26/11/2019	389368000200	Loja 2	2	25427.28	3971.52
26/11/2019	389368000200	Loja 2	10	3984.72	508.16
10/11/2019	389368000200	Loja 2	1	3426	537.64
3/11/2019	389368000200	Loja 2	4	6022.02	1197.78
13/11/2019	389368000200	Loja 2	5	6808.67	1076.38
13/11/2019	389368000200	Loja 2	2	22250.44	3467.24
13/11/2019	389368000200	Loja 2	8	9179.16	1285.43
22/11/2019	389368000200	Loja 2	6	8249.18	1390.54
10/11/2019	389368000200	Loja 2	13	3178.12	661.84
3/11/2019	389368000200	Loja 2	1	2914.56	473.99
6/11/2019	389368000200	Loja 2	4	8232.51	1617.55
10/11/2019	389368000200	Loja 2	10	2064.47	400.47
31/12/2019	389368000200	Loja 2	31	687.36	110
13/11/2019	389368000200	Loja 2	4	11341.31	2213.14
22/11/2019	389368000200	Loja 2	4	12119.86	2572.88
26/11/2019	389368000200	Loja 2	12	2868.18	490.96
27/11/2019	389368000200	Loja 2	4	11214	2388.84
24/11/2019	389368000200	Loja 2	4	9339.7	1890.9
10/11/2019	389368000200	Loja 2	6	4819.89	1055.68
31/12/2019	389368000200	Loja 2	18	821.92	286.51
31/12/2019	389368000200	Loja 2	4	4802.96	905.25
1/11/2019	389368000200	Loja 2	4	10256.14	1948.56
10/11/2019	389368000200	Loja 2	11	1668.07	168.32
1/11/2019	389368000200	Loja 2	3	5616.1	1306.66
10/11/2019	389368000200	Loja 2	4	9033.98	1905.36
3/11/2019	389368000200	Loja 2	5	2186.13	480.7
24/11/2019	389368000200	Loja 2	10	4739.82	776.88
1/11/2019	389368000200	Loja 2	6	6869.52	1314.6
1/11/2019	389368000200	Loja 2	5	5420.61	1258.39
31/12/2019	389368000200	Loja 2	5	4523.51	819.01
24/11/2019	389368000200	Loja 2	3	164.9	12.94
10/11/2019	389368000200	Loja 2	9	1498.56	464.06
6/11/2019	389368000200	Loja 2	1	3607.8	563.13
1/11/2019	389368000200	Loja 2	25	633.12	129.02
6/11/2019	389368000200	Loja 2	3	4125.85	789.46
31/12/2019	389368000200	Loja 2	23	608.98	95.5
26/12/2019	389368000200	Loja 2	4	2667.81	368.97
24/11/2019	389368000200	Loja 2	8	3907.1	917.9
31/12/2019	389368000200	Loja 2	7	2678.71	400.59
10/11/2019	389368000200	Loja 2	7	2515.67	439.92
13/11/2019	389368000200	Loja 2	10	2372.32	363.52
3/11/2019	389368000200	Loja 2	3	2713.11	465.74
13/11/2019	389368000200	Loja 2	1	7705.03	1254.42
1/11/2019	389368000200	Loja 2	12	2593.38	407.88
1/11/2019	389368000200	Loja 2	19	889.41	216.86
6/11/2019	389368000200	Loja 2	7	2811.3	511.92
26/12/2019	389368000200	Loja 2	5	1052.06	164.43
24/11/2019	389368000200	Loja 2	16	1127.38	198.6
24/11/2019	389368000200	Loja 2	34	472.02	106.08
22/11/2019	389368000200	Loja 2	18	2243.64	519.48
1/11/2019	389368000200	Loja 2	9	2707.78	510.38
22/11/2019	389368000200	Loja 2	36	461.84	112.08
27/11/2019	389368000200	Loja 2	30	1285.68	228.04
26/12/2019	389368000200	Loja 2	10	889.1	85.92
31/12/2019	389368000200	Loja 2	60	138.46	51.66
22/11/2019	389368000200	Loja 2	8	6256.22	1051.44
27/11/2019	389368000200	Loja 2	10	4433.3	643.32
31/12/2019	389368000200	Loja 2	43	390.17	117.94
1/11/2019	389368000200	Loja 2	7	3463.27	738.44
31/12/2019	389368000200	Loja 2	20	1738.74	124.14
3/11/2019	389368000200	Loja 2	21	52.96	52.96
